a_b	a_c	b_d	c_d
Don't hurt my son.	Just don't hurt me.	I won't let anybody hurt you.	I won't let you hurt me.
Sami felt on edge.	Sami was still on edge.	Sami was super nervous.	Sami seemed very nervous.
Do you feel bored?	Are you getting bored?	I hope you're not getting bored.	Aren't you getting bored?
I got her to help.	I helped her the best I could.	She did her best to help him.	She did all she could to help him.
I am free of debt.	My financial worries are over.	Your problems are over.	It's all over for you.
I got him to help.	I asked him to help me.	He offered to help me.	He asked me to help him.
Sami was a victim.	Sami is a victim, too.	Sami is guilty, too.	Sami has a confession, too.
It sounds healthy.	That doesn't sound healthy.	This is not exactly healthy.	That's not healthy.
Sami was chilling.	Sami was sitting here for a while.	Sami was waiting there.	Sami was waiting for something.
You can keep that.	You can keep it if you want.	Just keep it or throw it away if you don't need it.	You can keep it if you want to.
I can handle them.	We can handle them.	We can deal with it.	We'll just have to deal with it.
Don't go up there.	I don't want to go up there.	Just don't go there.	You don't want to go there.
We'll handle them.	We'll take care of them.	We're taking care of it.	I'm taking care of it.
Sami said nothing.	Sami never said anything.	Sami never said anything that indicated that he was involved.	Sami has never talked about this.
Let me handle her.	Let me handle things.	Let me handle everything for you.	Let me take care of that for you.
Let me handle him.	Let me handle them.	I'll take care of them.	I can take care of them.
I had a nightmare.	Yesterday evening I had a terrible nightmare.	When was the last time you had a nightmare?	It's been a long time since I've had a nightmare.
My name isn't Tom.	My name isn't even Tom.	Tom isn't your name, is it?	Is your name not Tom?
Give me some skin!	Can you put some sunscreen on me?	Have you put on sunscreen?	Did you get sunburned?
Sami had a hammer.	Sami unloaded his tools.	Sami went to grab his stuff.	Sami went back to get his stuff.
Esperanto is dead.	Esperanto is a waste of time.	Seriously? Is Esperanto useful for anything?	Learning Esperanto is not a waste of time.
Sami is screaming.	Sami started screaming.	Sami kept yelling.	Sami started screaming so loud.
Shit is happening.	Strange things are happening.	Weird things keep happening.	Weird things are happening.
Give her the $300.	Give her some money.	Be patient with her.	Tell her to try harder.
I won first place.	I was able to win the first prize.	To my great delight, he won the first prize.	As was expected, he succeeded in winning the prize.
I said I liked it.	I said that I thought it was funny.	I said something I thought was funny, but no one laughed.	My jokes didn't make anyone laugh.
Give him the $300.	Give him all of it.	I'm giving it to him.	I must give it to him.
Don't look for us.	Nobody's looking for us.	They won't be looking for us here.	They're not coming after us.
Don't look at Tom.	Don't talk to Tom.	Don't keep company with Tom.	Don't let Tom talk to anyone.
Give her the disk.	Just give it to her.	What if she won't give it to you?	Don't give it to her.
Give him the disk.	Put the disk in the computer.	You must insert a CD instead of a DVD.	The computer doesn't recognize the flash drive.
Don't let us down.	I'll try not to let you down.	I will not let you down again.	I would never let you down.
Give them the gun.	Put the gun on the table.	Hand over your firearms.	Hand over your weapons.
Vaccination works.	Don't forget to get your vaccinations.	Don't forget to put on sunscreen.	Don't forget to bring your umbrella in case it rains.
Give her the keys.	She says she lost her key.	She couldn't find her key anywhere.	She searched for her house key in her bag, but she didn't find it.
Don't let Tom die.	We won't let Tom die.	I won't let Tom escape.	I won't let Tom go.
Don't let them in.	Don't let anybody in.	Don't let anybody in this room.	Don't let anyone enter or approach this room.
Diet is important.	Keeping a healthy weight is crucial.	If you want to keep healthy, you should do more exercises.	Exercise is good for your health.
Give him the keys.	Give Tom his keys.	Tell Tom where to park his car.	Tell Tom where to go.
Sami sleeps there.	Sami spent the night over there.	Sami was back there.	Sami was coming from there.
I'd like to stand.	I'm already standing.	I'm tired of standing up.	You have to get up.
I saw that coming.	I should've seen that coming.	I should've anticipated this happening.	I should have anticipated this happening.
Why does Tom stay?	Why doesn't Tom leave?	Why does Tom want to leave?	Why doesn't Tom want to stay?
He was exonerated.	A DNA test proved he was innocent.	He claimed that he was innocent.	He said that he was innocent.
I saw this coming.	We saw this coming.	I should have seen this coming.	I should have seen it coming.
I love this group.	I've just discovered this group. Their songs are great.	I adore this group.	I don't know a lot about this band.
I lead by example.	I follow my mom's example.	I think I take after my mother.	I followed my mother's example.
Tom loves bananas.	Tom and I both like bananas.	Tom and I like the same kind of food.	Tom likes the same kind of food I do.
I have to survive.	I'll do whatever it takes to survive.	I'll do whatever it takes to get what I want.	I'll do whatever it takes to get this job done.
I have short arms.	You're very short.	You're the shortest person I know.	You're shorter than I am.
Did you kill them?	Did you want to kill them?	I didn't try to kill them.	I didn't want to kill anyone.
I have no savings.	I have almost no money with me.	I have hardly any money.	I have very little money.
It's very obvious.	It's patently obvious.	It seems pretty obvious.	It seemed fairly obvious.
I see their point.	I understand their feelings.	I understand the problem.	I understand your problem.
I didn't kiss her.	I didn't kiss anyone.	Did you kiss anybody?	So, did you get kissed?
I didn't kiss him.	I didn't kiss anyone.	Did you kiss anybody?	So, did you get kissed?
Don't be a coward.	I won't run away like a coward.	I think I'll run away.	How will you get away?
Don't ask me that.	Don't ask me that now.	I didn't ask you that.	You never asked me.
Tom is also a Jew.	Tom is a Jew hater.	Tom is a religious zealot.	Tom is a fundamentalist.
I have bad credit.	I do not need a loan anymore.	I need to get a loan.	I don't really need a loan.
I was suffocating.	I almost suffocated.	I felt like I was going to die.	I thought I was going to die.
I feel very upset.	I feel really sad.	I felt really depressed.	I felt really miserable.
They all knew her.	Everybody knows her.	Everybody loves her.	She is loved by everybody.
I have no details.	I don't have any more details.	I can't give you any details.	I'm sorry that I can't tell you more.
Didn't you see it?	Did you actually see it?	Did anybody else see it?	Did anyone see that?
I swallowed a bug.	I was bit by a mosquito.	I was bitten by a spider.	I was bitten by a zombie.
I thought of that.	I was just thinking about that.	I was thinking of the same thing.	I was thinking the same thing.
We can't kill her.	We can't let her die.	We can't let anybody else die.	We can't just let these people die.
We can't kill him.	We can't kill them.	I couldn't kill them.	I wanted to kill them.
Start the engines!	Start up your engines.	Turn on your fog lights!	Turn off the fog lights.
Sami was so weird.	Sami was a weird guy.	Sami is a strange man.	Sami is a crazy weirdo.
I was ready today.	I've been ready for hours.	You've been waiting all morning.	We've been waiting all morning.
Sami needs to eat.	Sami wants some food.	Sami wants to eat the sandwich.	Sami ate some food.
I want your money.	It's not your money I want.	I don't need your money.	We don't need your money.
Sami was fighting.	Sami liked to fight.	Sami was looking for a fight.	Sami wanted to fight those guys.
I think it's good.	I think that it's pretty good.	I think it's amazing.	I think it's fantastic.
Sami was so happy.	Sami was so happy about it.	Sami was so excited for that.	Sami really loved seeing that.
Sami kept yelling.	Sami started yelling.	Sami started raising his voice.	Sami started yelling and making a sense.
You need sunshine!	I needed sunlight and vitamin D.	You shouldn't have stayed out in the sun so long.	I should have put on more sunscreen.
I sure do hope so.	I sincerely hope so.	At this point, we can only hope.	One can always hope.
Sami kept talking.	Sami talked a lot.	Sami used to talk to a lot of different people.	Sami worked with so many people.
Sami is done here.	Sami's time is up.	Sami is going away.	Sami is probably going to leave.
He doesn't listen.	He won't listen to anyone.	No one is listening to him.	No one was listening to him.
I want this phone.	I love this mobile phone.	My phone is beautiful.	This is my mobile phone.
Sami made a video.	Sami made a YouTube video.	Sami makes YouTube videos.	Sami made a YouTube channel.
We went due north.	We're heading north.	The compass points to the north.	Compass needles point to the north.
I don't know much.	I don't know as much as I should.	I don't really know that much.	I don't have enough information yet.
I don't deny this.	I'm not going to deny that.	I'm not denying anything.	No one's denying that.
They all knew him.	They all knew her.	She knew him better than did all the others.	He seemed to know her.
I can't help that.	You can't help yourself.	I can't control myself.	I'm trying to stop myself but I'm not successful.
I know it's there.	I know where it is.	Do you know where it is?	I already know where it is.
I hardly knew him.	I barely know him.	I know him through a friend.	I know him very well.
I never knew them.	I've never heard of them.	I didn't know much about them.	I never knew about them.
I can't handle it.	I don't think I can handle it.	I couldn't handle it.	I don't think I can handle that.
I believe in this.	I do believe that.	I really, truly believe that.	I totally believe that.
He didn't ask him.	You didn't ask him anything.	You should ask him.	I suggest you ask him.
I believe in that.	I also believe that.	I believe that statement.	I accept the statement as true.
We cultivate rice.	Rice is cultivated in several parts of the world.	The rice crop was harvested.	An abundance of rice was produced last year.
I know I'm stingy.	You're the stingiest person I know.	Tom says I'm very stingy.	Tom is a very stingy person.
I know I'm biased.	I know I have a biased opinion.	You don't need to tell me your opinion. I know that.	You don't need to tell me your opinion. I already know what it is.
Did you know them?	Did you know them personally?	I met them once before.	How did you meet them?
I think I'm dying.	I think I'm getting sick.	I think I've caught a cold.	It seems I've caught a cold.
I think it's fine.	I think that's perfectly fine.	That sounds all right to me.	That sounds pretty good to me.
I can't leave her.	I don't want to leave her.	I'm not leaving with her.	Do you want to leave with her?
I can't leave him.	I don't want to leave him.	I can't live with him anymore.	Explain to me why you don't want to live with me anymore.
We obey the rules.	We need to obey the rules.	We must abide by the rules of the game.	We must follow the rules.
The town is dying.	Tragedy fell over the town.	The whole town was in an uproar.	The public became outraged.
I like that movie.	I really liked that movie.	I liked the movie a lot.	The movie was really good.
I hardly knew her.	I didn't know her very well.	I don't know her personally.	I am not acquainted with her.
I couldn't buy it.	I couldn't afford that.	I can't afford anything like that.	I don't think I can afford to buy something like that.
I didn't buy that.	You didn't buy that here, did you?	Did you buy this for me?	Is this what you wanted me to buy?
Didn't I tell you?	Haven't I told you this before?	Why didn't you tell me about this before?	Why didn't you tell us this before?
Didn't I say that?	Isn't that what I said?	Yeah, that's what I said.	Yeah, that's what I meant.
He cooked the cod.	Tom cooked the trout that he caught.	Tom asked me how to cook trout.	The fish Tom caught this afternoon were trout.
I just can't stop.	I can't help myself anymore.	I can't stop doing it.	I cannot help myself.
I didn't touch it.	You didn't touch anything, did you?	They didn't touch anything.	Did you touch anything?
They all knew you.	They told me that they knew you.	They said that they didn't know you.	They said they knew you.
We can never tell.	We'll never know for sure.	We do not know and will not know.	We may never know the answer.
I didn't see much.	I didn't see a thing.	You didn't see anything, did you?	I didn't actually see anything.
I barely knew her.	I didn't really know her.	I don't really know her at all.	I don't know her at all.
We abhor violence.	We can not bear violence.	Violence is a weak force.	People are not convinced through violence.
I didn't say much.	I didn't say a word.	Not knowing what to say, I didn't say anything.	I didn't utter a word.
I barely knew him.	I didn't know him very well.	I didn't know him either.	I didn't know who he was.
Those aren't mine.	These aren't yours, are they?	These are ours, aren't they?	This is yours, isn't it?
I didn't know Tom.	I didn't know Tom then.	I didn't know much about Tom.	I didn't know Tom back then.
Everyone knew her.	Everybody liked her.	Everyone praised her.	Everybody loved her.
Everyone knew him.	Everyone knew everybody else.	Everybody knew Tom.	Everyone agreed with Tom.
He's her beau now.	He's an old boyfriend of hers.	She's a close friend of his.	He's a good friend of hers.
I didn't feel bad.	I don't feel bad about that.	Don't feel too bad.	Don't worry so much.
Sami is over here.	Sami is here somewhere.	Sami is supposed to be here right now.	Sami doesn't seem to be around anywhere.
Sami is a redneck.	Sami hates redneck names.	Sami needs to put a face to this name.	Sami doesn't really go by this name.
The party's today.	The party was yesterday.	The party started an hour ago.	The party began shortly after midnight.
I didn't kill him.	I didn't mean to kill him.	I didn't want to kill anybody.	I didn't want to kill him.
Sami didn't speak.	Sami wasn't talking.	Sami is not talking.	Sami wasn't talking to people.
Shut up right now!	Shut up and be quiet!	Can you please be quiet?	Why don't you be quiet?
I should get home.	You should get home.	You've got to come home.	You must come home.
I should go there.	You should go there now.	I have to go there myself.	As a matter of course, you must go there yourself.
Sami isn't asleep.	Sami doesn't sleep.	Sami didn't sleep a wink last night.	Sami wasn't getting any sleep.
You will be wrong.	I hope you're wrong about this.	I really hope that I'm wrong.	I'm hoping I'm wrong.
Let us go, please.	Why don't you just let us go?	We can't let you go.	I can't let you go.
Maybe I hurt them.	I swear I never hurt them.	I swear I never hurt him.	I know you didn't hurt him.
My heart ticks me.	My heart is beating heavily.	I felt my heart beating rapidly.	I felt my heart beating violently.
I love pine woods.	The woods are my home.	My house is next to the big tree.	There's a house behind the trees.
I'm glad they won.	They said that they're really glad they won.	They said they're very happy.	They said they were very happy.
I'm glad I'm done.	I'm actually done.	I'm almost finished here.	I'm almost finished.
I didn't hurt her.	I'm not the one who hurt her.	It is high time for you to realize that you hurt her.	Give her another chance.
Sami curses a lot.	Sami has been saying mean things.	Sami was being so mean to me.	Sami was being nasty.
I didn't hurt him.	I never meant to hurt him.	I didn't mean to hurt anyone.	I didn't intend to hurt anyone.
Don't bet on that.	I wouldn't bet on that if I were you.	I wouldn't take that bet.	I wouldn't take that risk if I were you.
I'm actually done.	I'm glad I'm done.	I'm glad it's all over.	I'm glad that's over.
This isn't a sham.	This isn't a trick.	This is not a gimmick.	It isn't a gimmick.
Who cut the bread?	He divided the bread into two pieces.	He cut his sister a piece of bread.	He wanted to eat a couple of slices of bread.
I can hardly swim.	I can't swim any further.	I don't think I can go swimming today.	I can't go swimming today.
I still have mine.	I brought one back.	I still don't have one.	I thought you already had one.
Tom frightened us.	Something frightened Tom.	Tom seemed terrified of something.	Tom seems to be scared of something.
I sent Tom a note.	I left a note for Tom.	Tom slipped me a note.	Tom left a note for you.
They were not ill.	They told everyone they were well.	He told everybody he was well.	He told everyone he was fine.
It was my destiny.	This is your destiny.	This is the life that I chose.	Life is here and now.
It's the rat race!	It's a race against time.	Time is getting short.	Time is pressing every moment.
Sami ignored them.	Sami ignored that.	Sami did not seem to care about that.	Sami doesn't really care about that.
I saw Tom take it.	I saw you give it to Tom.	I'm the one who gave Tom that.	I'm not the one who gave that to Tom.
I didn't hire her.	I never should've hired her.	I never should've hired them.	I never should have hired you.
I didn't hire him.	I didn't hire her.	I didn't go with her.	I didn't tell her to come.
Don't count on it.	Just don't count on it.	I wouldn't count on that happening.	I don't anticipate that happening.
Sami became blind.	Sami is almost blind.	Sami couldn't even see that.	Sami can't see what he's doing.
I saw you looking.	I saw you staring at them.	I saw you look at it.	I saw you spying on them.
Is this bag yours?	That black bag is yours?	Is this hat yours?	That's not your hat, is it?
Did you hire them?	Did they offer you a job?	How much money did they offer you?	What did they offer?
We just hired her.	I want to hire her.	I want to see her in my office.	I need to see her.
I see I was right.	I can see now I was wrong.	Well, now I know I was right.	I see now that I was mistaken.
I see I was wrong.	I'm glad to see I was wrong.	I was mistaken and I'm glad I was.	I'm so glad that I was wrong.
Sami was on a bus.	Sami was on that bus.	Sami was in that seat.	Sami was in the front row.
They weren't sick.	They said they aren't sick.	They admitted they weren't really sick.	They say that they're not sick.
We just hired him.	We just hired her.	They pay her well.	She makes a good living.
I saw you outside.	I waited outside on the chance of seeing you.	I waited for you in the park.	I waited outside for him.
You can't hurt us.	You can't do that to us.	I won't allow you guys to do that.	We won't be allowed to do that.
I still have them.	I have them with me.	They are at my home.	I've got them with me.
We're old friends.	We're close friends.	The two of us are friends.	We're both friends.
I bumped into her.	I struck up an acquaintance with her.	I met her along the way to school.	I got to know her through one of my friends.
I bumped into him.	I happened to meet him in town.	I met him on his way home.	I met him while going back home.
I've got diabetes.	Only you can stop diabetes.	After all, this is the land of diabetes.	Diabetes is an expensive disease to treat.
Where can we park?	Where can we park the car?	Could you tell me where I can park?	Where can I park my car?
Both might happen.	That may not happen.	It may never happen.	It's just never going to happen.
We got up at dawn.	I got up at the crack of dawn.	I got up at seven in the morning.	I got up early in the morning.
Sami goes to work.	Sami arrived at work.	Sami started working.	Sami started a new job.
The problem is me.	The problem here isn't me.	It isn't your problem.	It isn't my problem.
You intimidate us.	Don't let us intimidate you.	You guys can't scare me.	Don't be terrified.
I'll never change.	I'm not going to change.	I don't have to change.	I am not going to change.
I worked with Tom.	I used to work for Tom.	Tom used to work at the same place that I do now.	Tom used to be my workmate.
Sami likes babies.	Sami had a newborn.	Sami loves the baby.	Sami started rocking the baby.
I won't negotiate.	No matter how much you offer to pay me, I won't do that.	If you're not going to do that, I won't do that either.	I won't do that unless you want me to.
You're telling me?	I'm telling you, you're wrong.	Are you saying I'm wrong?	I'm sorry, but you're wrong.
The past is a lie.	The past is the past.	These things belong to the past.	All that belongs to the past now.
I didn't kill her.	You shouldn't have killed her.	I shouldn't have kissed her.	I wish I hadn't kissed her.
I was so confused.	I was thoroughly confused.	I was somewhat dumbfounded.	I was completely dumbfounded.
Sami liked soccer.	Sami likes playing football.	Sami played flag football.	Sami was a football player.
The problem is us.	We're the problem.	This is our biggest problem.	We're part of the problem.
You intimidate me.	Are you trying to intimidate me?	Are you trying to get me mad?	Are you trying to pick a fight?
I'll vote for you.	You'll have my vote.	My name is on the ballot.	You've got my vote.
Don't be so crass.	Don't be such a jerk.	Why are you such a jerk?	Stop being a jerk.
I still have time.	I still have plenty of time.	You have plenty of time.	You have enough time.
I just ignore her.	Tell her to leave me alone.	Tell her I'm busy.	Tell her that I am talking on the phone.
I just ignore him.	I just ignore them.	I tend to just block people like that.	Tell them to leave me alone.
I still love Mary.	I will always love Mary.	Mary is the only girl I've ever loved.	Mary is the only girl I've ever been in love with.
I still need time.	I still need some time to prepare.	I wish I'd had more time to prepare.	I need time to prepare.
I'm a team player.	I'm a member of the team.	Aren't you on the team?	I am not considered a member of the team.
I need good vibes.	I hope I can find a good job.	I hope I don't get laid off.	I hope that I can find a good job.
Try to ignore her.	Don't talk to her.	Don't talk to her that way.	Don't talk to her about this.
Don't be too sure.	You don't look too sure.	You don't seem too convinced about it.	You don't look convinced.
Try to ignore him.	Tell him to shut up.	Tell him to mind his own business.	Tell him not to talk to anyone.
Don't be too long.	I shouldn't be too much longer.	How much longer are you going to have me waiting here?	I've been waiting here almost an hour.
I'm a little hurt.	I'm hurt because of you.	I'm sick of being hurt.	Why do you hurt me so much?
Sami has a family.	Sami has a loving family.	Sami had contact with his family.	Sami loves his family.
Don't be so naive.	You can't possibly be that naive.	I'm not as naive as a lot of people think I am.	How naive do you think I am?
Please inform her.	It would be nice to tell her.	Unfortunately, I can't tell her.	I haven't told her yet.
Please inform him.	I'll be sure to tell him.	I'd be happy to tell him.	I'll tell him, if I don't forget.
Tie on your apron.	In the office, I have to wear a tie.	Do you always wear a tie to work?	I always wear a tie to work.
Don't be so hasty.	Let's not be too hasty.	Don't do anything hasty.	Let's not rush into things.
I'll wait and see.	You'll have to wait and see.	Well, just you wait and see.	You will have to wait and see.
Sami called a cab.	Sami requested an Uber.	Sami was my Uber driver.	Sami got in an Uber.
Today will be hot.	I think it'll be hot today.	Tomorrow is going to be hot.	It's probably going to be hot tomorrow.
Sami was an idiot.	Sami is a complete idiot.	Sami was really stupid.	Sami is stupid, too.
Turn on the light.	Turn the flashlight on.	You should turn the light on.	You don't have a flashlight, do you?
I didn't tell Tom.	I didn't tell Tom any of that.	I didn't tell Tom about what we did.	I didn't let Tom know what we were going to do.
I didn't see that.	I didn't notice that.	I didn't catch that.	I didn't notice that at the time.
I am a cat person.	I used to be a cat lover.	Who wouldn't love cats?	I love cats so much. I'm a crazy cat lover.
Ziri felt worried.	Ziri started to get scared.	Ziri was so afraid.	Ziri was so terrified.
I didn't order it.	I don't think that I ordered that.	It is not what I ordered.	That's not what I ordered.
I want a notebook.	What I want is a new computer.	What kind of computer do you want?	Which computer do you want to buy?
I didn't like Tom.	I really never liked Tom.	You never liked Tom.	I've never cared for Tom.
Ziri has no proof.	Ziri can't prove that to the police.	Ziri couldn't do that.	Ziri wouldn't dare do that.
Which is the best?	Which one do you think is best?	Which of them do you prefer?	Which one do you prefer?
You're pushing me.	Don’t push me too hard. It’s dangerous.	Don't pressure me.	I'm not trying to pressure you.
I didn't know why.	At first, I didn't know why.	I didn't understand that at first.	At first, I was puzzled.
Ziri went too far.	Ziri did something wrong.	Ziri was in trouble.	Ziri was the problem.
I didn't know how.	I didn't think that I could do that.	I never thought that I could do that.	I didn't think I'd ever be able to do that.
I didn't hire Tom.	I didn't hire him.	I didn't apply for the job.	I wasn't offered a job.
These are for her.	I bought this for her.	I bought this for my mother.	I bought this for my father.
These are for him.	These are for them.	We have something for them.	I have something for them.
Tom screams a lot.	Tom has a shrill voice.	Tom is really loud.	Tom was really loud.
I've come for her.	I'm coming for her.	I'm waiting for her here.	I'll be waiting for her.
Tom respects Mary.	Tom and Mary respect each other.	Tom and Mary admire each other.	Tom and Mary seem to be enjoying each other's company.
Sami's face hurts.	Sami doesn't feel good.	Sami still feels ill.	Sami isn't feeling well.
I didn't think so.	I didn't think about that.	I wasn't even thinking about that.	I hadn't even considered that.
Stop the nonsense!	Don't speak nonsense!	What kind of nonsense are you talking about?	What kind of nonsense is that?
Sami was cleaning.	Sami bought some cleaning equipment.	Sami cleans the house.	Sami has to clean the toilet up.
Let's follow them.	We need to follow them.	We must follow him.	We should follow him.
I sat down to eat.	I was hungry, so I ate.	I was pretty hungry.	I was a bit hungry.
I will follow her.	We need to follow her.	He should follow her.	We have to follow her.
I will follow him.	We need to follow him.	We need to follow them.	We're following them.
We'll follow them.	Tom and Mary say they'll go with us.	Tom and Mary said that they'd love to go with us.	Tom and Mary said that they wanted to go with us.
I may never leave.	I don't want to ever leave here.	I don't want you to leave.	I don't want to leave now.
They followed her.	He followed in her wake.	She followed him home.	She followed him home to find out where he lived.
They say she died.	She died last night.	She died of a heart attack.	She passed away peacefully in her sleep.
They followed him.	He was following them.	He knew that somebody was following him.	He realized he was being followed.
Tom followed them.	Tom was following us.	Tom assumed that he was being followed.	Tom thought he was being followed.
I'm following her.	We need to follow her.	He should follow her.	He should go with her.
Yanni hates Skura.	Yanni didn't like Skura.	Yanni hated Skura's boyfriend.	Yanni didn't like Skura's story.
I'm following him.	We need to follow him.	We need to follow them.	I think we should follow them.
I don't like beer.	I don't like beer that much.	Do you mean that you don't like beer?	I don't like beer too much.
Yanni got a snack.	Yanni took some food.	Yanni's mouth was filled with food.	Yanni ordered food.
What a fool I was!	What an idiot I am!	I made that same mistake once.	I've made that same mistake myself.
I don't deny that.	I'm not going to deny it.	Nobody can deny that.	No one can deny this fact.
Tom ran to school.	Tom sometimes runs to school.	Tom is sometimes late for school.	Tom is frequently late for school.
They died in vain.	It was all in vain.	We did this work in vain.	Every effort was in vain.
I've come for him.	I've come for her.	She has promised to come.	She said that she would come.
Tom sells flowers.	Tom bought some flowers.	Why did Tom buy these flowers?	These flowers were sent by Tom.
I need 30 minutes.	I'm going to need at least five minutes.	I'll wait another five minutes.	Please wait for five more minutes.
Tom went far away.	Tom went to live in a village very far from here.	Tom lives really far from here.	Tom doesn't live here.
It's Friday today.	Yes, today is Friday.	Wait, it's today? You told me it was next Friday!	I thought we said tomorrow.
I didn't break in.	In all fairness, you did break into the house.	Someone broke into our house last night.	Someone broke into my house.
I read the novels.	You used to read novels.	I enjoy reading novels.	My hobby is reading novels.
I bark like a dog.	Dogs bark. That's what dogs do.	Why is the dog barking so much?	Why is your dog barking?
I need a vacation.	I need a vacation soon.	I'm about to go on vacation.	I'm going on vacation!
Look out for them.	Watch out for them.	Do not go near them.	You have to stay away from them.
I looked for them.	I was looking for them.	I have been looking for them.	I've looked everywhere and I haven't found them.
Watch out for her.	Keep your eye on her.	Be careful with her.	Let her know what's happening.
I think otherwise.	I'd like to believe otherwise.	It's naive to believe otherwise.	I'd like to believe that's true.
This is the house.	This is the house I live in.	This is the house where I lived as a child.	This is the house where I used to live when I was young.
I'll pray for her.	I hope that she will get well soon.	I just want her to get well.	I just want her to feel well.
I'll pray for him.	May God have mercy on him.	May His great name be blessed forever and ever.	May God have mercy of him.
It's pouring down!	It's pouring pretty hard out there!	This is quite a rainstorm.	It's raining pretty hard right now.
I loved only Mary.	I used to love Mary.	Mary is the only woman that I've ever really loved.	Mary is the only woman I've ever really been in love with.
I need more light.	I think there's too much light.	The picture would look better on a bright background.	There's too much clutter in the photo.
The masks are off.	Everyone is wearing a mask.	She's wearing a mask.	No one will recognize her in this mask.
Watch out for him.	Watch out for that man.	Watch out for them.	Just be careful with them.
I might need that.	I needed just that.	I got what I needed.	It was what I needed.
We value fairness.	We need to treat everybody fairly.	We want to be fair.	Let's treat everybody fairly.
Rest in spaghetti.	We're eating spaghetti.	They made spaghetti.	He made spaghetti.
I didn't go crazy.	I'm not that crazy.	I don't think that anyone thinks you're crazy.	You're not that crazy.
Tom slept an hour.	Tom seemed to be sleeping.	Tom is apparently asleep.	Tom appears to be asleep.
I didn't go blind.	Did you think I was blind?	Did you think I wouldn't notice?	Did you think I didn't notice anything?
Tom saw you there.	Tom noticed that I was there.	He noticed that I was there.	Suddenly he spotted me.
I'm happy for her.	I should be happy for her.	She said she was happy.	She told me that she was happy.
I'm happy for him.	I should be happy for him.	I'm more than happy.	I couldn't be happier.
Tom told everyone.	Tom told everyone that he had done that.	Tom told everyone he'd decided to do that.	Tom told everyone that he wanted to do that.
I didn't get shot.	You're lucky you didn't get shot.	You're lucky you didn't get injured.	You're lucky you didn't die.
Tom wanted change.	Tom decided he needed a change.	Tom needed to change his plan.	Tom changed the plan.
I'm here for them.	I'm here to help them.	I want you to help them.	I wanted to help them.
They're very busy.	They said that they're very busy.	They said that they were very busy.	They said that they were busy.
The girl is Irish.	She is learning Gaelic.	She's studying English.	She is teaching us English.
I didn't even ask.	I didn't have to ask.	I got nothing to ask.	I don't have to say anything.
I don't like cats.	I actually don't like cats at all.	I don't like cats, nor does my brother.	Neither of us likes cats.
I must go at once.	I must leave at once.	You had better leave at once.	You need to leave immediately.
I must leave here.	You must leave now.	You may leave now.	You can leave now if you want to.
I didn't clean it.	I didn't wash my car.	I didn't wash my hair.	I'm not washing my hair.
Yanni needs Skura.	Yanni should help Skura out.	Yanni wants to help Skura.	Yanni can help Skura with that.
I didn't get much.	I didn't try to do very much.	I tried not to do too much.	I really didn't do much.
I just fired them.	I may have to fire them.	You'd better tell them what to do.	You've got to warn them.
I don't doubt you.	I don't doubt your intentions.	I shouldn't have doubted you.	I didn't doubt you.
I don't fear them.	I'm more afraid of them than I am of you.	We're not scared of people like you.	We are terrified of you.
I love my new job.	I absolutely love my job.	How much do you like your job?	I love my job. I spend most of my day there.
I love that place.	I love this place.	This place is wonderful.	This is a wonderful place.
My shoes are gone.	I can't find my shoes.	Where did you leave your shoes?	Where are my shoes?
I love that shirt.	I like this shirt.	That's a nice T-shirt.	I like your T-shirt.
I felt very happy.	I was very, very happy.	I was as happy as could be.	I am as happy as can be.
Tom got nominated.	Tom has won many awards this year.	Tom has been nominated three times.	Tom has won numerous awards.
I don't trust you.	I don't trust you at all.	I don't think I can trust you anymore.	I can no longer trust you.
I don't trust Tom.	I don't completely trust Tom.	I don't think Tom is trustworthy.	Tom isn't very trustworthy.
Here's my address.	Give me your address.	Please tell me your current address.	Please fill in your current address here.
I have a pink car.	What colour is your car?	What color car do you think I should buy?	What color car do you want to buy?
I love all of you.	I love all of you very much.	I love both of you with all my heart.	I will love you forever and ever.
Tom made us lunch.	Tom wanted to eat lunch with you.	Tom insisted on buying me lunch.	Tom said that you wanted to eat lunch with us.
I love you people.	People here love you.	Everybody hates you.	Why does everyone hate me?
Yanni was driving.	Yanni started driving.	Yanni was just driving by.	Yanni drove before.
I love your dress.	Your dress is beautiful.	That's a beautiful dress.	That's a nice dress.
I love your house.	You have such a beautiful house.	Your house is really nice!	Your house is very nice.
I love to bargain.	I want to make a deal.	I have an offer to make.	We have an offer for you.
I don't need this.	I don't need that.	We don't need that.	I don't think that we need that.
I love this place.	I like this place.	I hope you like this place.	I really like this place.
I don't need them.	I don't need those things.	I don't need this much stuff.	I don't need more stuff.
I love doing this.	I love doing that.	I've enjoyed doing that since I was a kid.	I've always loved doing that.
What are we after?	What do we want here?	What do you want us to do?	What did you want us to do?
I won't be silent.	I promise that I'll be quiet.	Just promise me you won't say anything.	I promised I wouldn't say anything.
Yanni went inside.	Yanni went inside the home.	Yanni checked the house.	Yanni saw a house.
I like your dress.	I like your dress very much.	The dress fits you very well.	This dress looks very good on you.
I won't be afraid.	I'm not going to be afraid again.	I'm still not scared.	I'm not afraid anymore.
I won't ask again.	Please don't ask me again!	Please don't ask again. I won't tell you.	Please don't ask me that again.
Let's change this.	We want to change that.	How can we change that?	I wish we could change that.
